tag,nombre_occurrences
1GM,13
2GM,7
action-culturelle,11
AD,82
affiches,8
AM,96
AN,18
AR,14
architecture,1
bibliothèque,3
cadastre,22
cartes-et-plans,13
cartes-postales,12
chronologie,21
climat,5
collecte,24
communication,5
délibération,5
état-civil,12
exposition,5
films,1
fonctionnement,15
histoire,193
immobilier,13
informations-pratiques,3
inventaires,21
justice,1
liste-d'individus,44
Météofrance,19
ministère,11
musée,7
notaire,2
numérisation,20
photographies,9
population,12
presse,1
public,8
SHD,1
SIAF,11
SNCF,1
transport,6
